NIP	Montant
121	100 
101	100
29	100
85	110 
167	100
15	110
28	100
100	100
111	110
168	110
162	140
66	110
42	110
64	100
119	100
169	110
25	110
170	130
109	110
32	130
70	110
35	100
108	110
106	110
31	110
53	100
14	100
171	100
172	120
144	110
175	110
26	110
75	110
178	100
48	110
123	110
116	110
99	110
122	100
180	100
30	100
181	120
104	100
45	100
182	100
27	110
78	110
105	120
87	120
44	130
36	110
173	100
174	110
102	110
84	130
157	110
73	100
59	110
21	110
41	110
61	110
120	110
117	120
118	110
24	110
161	110
79	110
184	100
115	110
185	110
