Foyer	famille
101	1
102	2
103	3
104	4
105	5
106	6
107	7
108	8
109	9
110	10
201	11
202	12
203	13
204	14
205	15
206	16
207	17
208	18
209	19
210	20
211	21
212	22
301	23+24
302	25+26
303	27+28
304	29+30
305	31+32
306	33+34
307	35+36
308	37+38
309	39+40
310	41+42
311	43+44
312	45+46
313	47+48
401	49+50
402	51+52
403	53+54
404	55+56
405	57+58
406	59+60
407	61+62
408	63+64
409	65+66
410	67+68
501	69+70
502	71+72
503	73+74
504	75+76
505	77+78
506	79+80
507	81+82
508	83+84
509	85+86
